"","text","created_at","retweet_count","favorite_count","clean","sent.value","category","response","month","year"
"414","Pollster Trend National GOP Average223 national polls &amp; 33 pollsters.#MakeAmericaGreatAgain #Trump2016 https://t.co/mILAGwjvS2",2015-11-27,2044,3999,"Pollster Trend National GOP Average223 national polls &amp; 33 pollsters.#MakeAmericaGreatAgain #Trump2016 https://t.co/mILAGwjvS2",0.3,"neutral",6043,2015-11-01,2015-01-01
"415","The failing @nytimes should focus on fair and balanced reporting rather than constant hit jobs on me. Yesterday 3 boring articles today2!",2015-11-26,1709,4645,"The failing @nytimes should focus on fair and balanced reporting rather than constant hit jobs on me. Yesterday 3 boring articles today2!",-0.15,"neutral",6354,2015-11-01,2015-01-01
"416","I do not know the reporter for the @nytimes or what he looks like. I was showing a person groveling to take back a statement made long ago!",2015-11-26,1540,3916,"I do not know the reporter for the @nytimes or what he looks like. I was showing a person groveling to take back a statement made long ago!",0.5,"neutral",5456,2015-11-01,2015-01-01
"418","https://t.co/T5JBFXOz3F",2015-11-26,1989,4481,"https://t.co/T5JBFXOz3F",0,"neutral",6470,2015-11-01,2015-01-01
"420","The numbers at the @nytimes  are so dismal especially advertising revenue that big help will be needed fast. A once great institution-SAD!",2015-11-26,1149,3114,"The numbers at the @nytimes are so dismal especially advertising revenue that big help will be needed fast. A once great institution-SAD!",0,"neutral",4263,2015-11-01,2015-01-01
"421","So since the people at the @nytimes have made all bad decisions over the last decade why do people care what they write. Incompetent!",2015-11-26,1512,4532,"So since the people at the @nytimes have made all bad decisions over the last decade why do people care what they write. Incompetent!",-0.5,"neutral",6044,2015-11-01,2015-01-01
"422","The dopes at the @nytimes bought the Boston Globe for $1.3 billion and sold it for $1.00. Their great old headquarters-gave it away! So dumb",2015-11-26,1270,3333,"The dopes at the @nytimes bought the Boston Globe for $1.3 billion and sold it for $1.00. Their great old headquarters-gave it away! So dumb",-0.25,"neutral",4603,2015-11-01,2015-01-01
"425","Credible Source on 9-11 Muslim Celebrations: FBIhttps://t.co/UICDNcftJS via @WKRG",2015-11-26,1573,2621,"Credible Source on 9-11 Muslim Celebrations: FBIhttps://t.co/UICDNcftJS via @WKRG",0.5,"neutral",4194,2015-11-01,2015-01-01
"426","#MakeAmericaGreatAgain #Trump2016 https://t.co/r9ARuMdyMn",2015-11-26,2130,5084,"#MakeAmericaGreatAgain #Trump2016 https://t.co/r9ARuMdyMn",-0.1,"neutral",7214,2015-11-01,2015-01-01
"428","Thank you for your continued support!#MakeAmericaGreatAgain #Trump2016 https://t.co/SLo49cY9KB",2015-11-25,2762,6923,"Thank you for your continued support!#MakeAmericaGreatAgain #Trump2016 https://t.co/SLo49cY9KB",0.9,"neutral",9685,2015-11-01,2015-01-01
"430","South Carolina was so great last night. Will be back soon!",2015-11-25,853,2710,"South Carolina was so great last night. Will be back soon!",0.5,"neutral",3563,2015-11-01,2015-01-01
"431","Why would @greta use @KarlRove as an election analyst when he has made so many mistakes. He still thinks Romney won. An establishment dope!",2015-11-25,1617,3864,"Why would @greta use @KarlRove as an election analyst when he has made so many mistakes. He still thinks Romney won. An establishment dope!",0,"neutral",5481,2015-11-01,2015-01-01
"432","Myrtle Beach South Carolina #MakeAmericaGreatAgain #Trump2016 https://t.co/JlY5sbumpY",2015-11-25,1438,3335,"Myrtle Beach South Carolina #MakeAmericaGreatAgain #Trump2016 https://t.co/JlY5sbumpY",-0.1,"neutral",4773,2015-11-01,2015-01-01
"435","Thank you for your nice words @MikeNeedham @Heritage for the nice words on @FoxNewsSunday with Chris Wallace. #FNS #Trump2016",2015-11-24,742,1990,"Thank you for your nice words @MikeNeedham @Heritage for the nice words on @FoxNewsSunday with Chris Wallace. #FNS #Trump2016",0.9,"neutral",2732,2015-11-01,2015-01-01
"436","What is Frank VanderSloot getting for agreeing to back Marco Rubio? Last victim was Mitt Romney - see how that turned out.",2015-11-24,1077,2655,"What is Frank VanderSloot getting for agreeing to back Marco Rubio? Last victim was Mitt Romney - see how that turned out.",0.25,"neutral",3732,2015-11-01,2015-01-01
"437",".@BradPaisley came up to see me. A really nice and talented guy. https://t.co/duJ7vXLGZw",2015-11-24,2483,8560,".@BradPaisley came up to see me. A really nice and talented guy. https://t.co/duJ7vXLGZw",1,"neutral",11043,2015-11-01,2015-01-01
"438","Will be doing @seanhannity at 10 PM on @FoxNews.  As always with Sean will be interesting!",2015-11-24,857,2128,"Will be doing @seanhannity at 10 PM on @FoxNews. As always with Sean will be interesting!",0.75,"neutral",2985,2015-11-01,2015-01-01
"439","Heading to Myrtle Beach South Carolina. Really big crowd—so much to talk about!",2015-11-24,1152,3291,"Heading to Myrtle Beach South Carolina. Really big crowd—so much to talk about!",0.65,"neutral",4443,2015-11-01,2015-01-01
"440","Republicans must stop relying on losers like @KarlRove if they want to start winning presidential elections. Be tough and get smart!",2015-11-24,2477,5192,"Republicans must stop relying on losers like @KarlRove if they want to start winning presidential elections. Be tough and get smart!",0.6,"neutral",7669,2015-11-01,2015-01-01
"441","Just left Columbus rally of 14000 people --- a far bigger crowd than even I expected! Unbelievable evening incredible spirit in the arena!",2015-11-24,2313,7024,"Just left Columbus rally of 14000 people --- a far bigger crowd than even I expected! Unbelievable evening incredible spirit in the arena!",0.25,"neutral",9337,2015-11-01,2015-01-01
"443","Going to Ohio home of one of the worst presidential candidates in history--Kasich. Can't debate loves #ObamaCare--dummy!",2015-11-23,2518,6408,"Going to Ohio home of one of the worst presidential candidates in history--Kasich. Can't debate loves #ObamaCare--dummy!",0.5,"neutral",8926,2015-11-01,2015-01-01
"444",".@WSJ reports that @GOP getting ready to treat me unfairly—big spending planned against me. That wasn’t the deal!",2015-11-23,2377,4280,".@WSJ reports that @GOP getting ready to treat me unfairly—big spending planned against me. That wasn’t the deal!",0.3,"neutral",6657,2015-11-01,2015-01-01
"447","Hillary there is nothing to laugh about- https://t.co/bkmWFZ9JI9",2015-11-23,1967,4031,"Hillary there is nothing to laugh about- https://t.co/bkmWFZ9JI9",0.5,"neutral",5998,2015-11-01,2015-01-01
"448","Going to Columbus Ohio today for a tremendous rally of thousands. The silent majority is no longer silent!",2015-11-23,2078,5791,"Going to Columbus Ohio today for a tremendous rally of thousands. The silent majority is no longer silent!",0.25,"neutral",7869,2015-11-01,2015-01-01
"449",".@AP has one of the worst reporters in the business -- @JeffHorwitz wouldn’t know the truth if it hit him in the face.",2015-11-23,1077,2769,".@AP has one of the worst reporters in the business -- @JeffHorwitz wouldn’t know the truth if it hit him in the face.",0.25,"neutral",3846,2015-11-01,2015-01-01
"453","Great poll numbers! Thank you!#MakeAmericaGreatAgain #Trump2016 https://t.co/51CRR6m5Eg",2015-11-22,2220,4448,"Great poll numbers! Thank you!#MakeAmericaGreatAgain #Trump2016 https://t.co/51CRR6m5Eg",0.9,"neutral",6668,2015-11-01,2015-01-01
"454","We better get tough with RADICAL ISLAMIC TERRORISTS and get tough now or the life and safety of our wonderful country will be in jeopardy!",2015-11-22,5172,9985,"We better get tough with RADICAL ISLAMIC TERRORISTS and get tough now or the life and safety of our wonderful country will be in jeopardy!",1,"neutral",15157,2015-11-01,2015-01-01
"455","13 Syrian refugees were caught trying to get into the U.S. through the Southern Border. How many made it?  WE NEED THE WALL!",2015-11-22,5602,12230,"13 Syrian refugees were caught trying to get into the U.S. through the Southern Border. How many made it? WE NEED THE WALL!",0,"neutral",17832,2015-11-01,2015-01-01
"456","Great poll numbers all over and beating Hillary Clinton one on one. Thank you!",2015-11-22,2514,7548,"Great poll numbers all over and beating Hillary Clinton one on one. Thank you!",0.5,"neutral",10062,2015-11-01,2015-01-01
"457","Big new @ABC Poll to be announced at 9:00 A.M. on This Week with @GStephanopoulos. I will be interviewed on show!",2015-11-22,847,2574,"Big new @ABC Poll to be announced at 9:00 A.M. on This Week with @GStephanopoulos. I will be interviewed on show!",0.8,"neutral",3421,2015-11-01,2015-01-01
"459","Will be interviewed on @foxandfriends at 8:00 A.M.",2015-11-22,629,1962,"Will be interviewed on @foxandfriends at 8:00 A.M.",-0.25,"neutral",2591,2015-11-01,2015-01-01
"460","I find that @Reuters is a far more professional operation than @AP.",2015-11-22,1252,3133,"I find that @Reuters is a far more professional operation than @AP.",0.8,"neutral",4385,2015-11-01,2015-01-01
"463","Thank you to all law enforcement agencies for a fabulous job!#LEO #LESM #Trump2016 https://t.co/SuH1jfOQR4",2015-11-21,2423,6069,"Thank you to all law enforcement agencies for a fabulous job!#LEO #LESM #Trump2016 https://t.co/SuH1jfOQR4",0.4,"neutral",8492,2015-11-01,2015-01-01
"464","Thank you for a great afternoon Birmingham Alabama! #Trump2016 #MakeAmericaGreatAgain https://t.co/FrOkqCzBoD",2015-11-21,1204,3073,"Thank you for a great afternoon Birmingham Alabama! #Trump2016 #MakeAmericaGreatAgain https://t.co/FrOkqCzBoD",0.9,"neutral",4277,2015-11-01,2015-01-01
"465","It's too bad so few people showed up to @bobvanderplaats Family Leader dinner. Next year I'll try &amp; be there- and they'll have a huge crowd!",2015-11-21,717,2461,"It's too bad so few people showed up to @bobvanderplaats Family Leader dinner. Next year I'll try &amp; be there- and they'll have a huge crowd!",0.1,"neutral",3178,2015-11-01,2015-01-01
"470","Heading to Birmingham Alabama and a massive crowd of incredible people! 12 noon - will be wild.",2015-11-21,1183,3778,"Heading to Birmingham Alabama and a massive crowd of incredible people! 12 noon - will be wild.",0.25,"neutral",4961,2015-11-01,2015-01-01
"471","To show you how politicians act Bobby Jindal spent $1000 to register in New Hampshire &amp; dropped out the next day. Such a waste!",2015-11-21,1203,3139,"To show you how politicians act Bobby Jindal spent $1000 to register in New Hampshire &amp; dropped out the next day. Such a waste!",-0.2,"neutral",4342,2015-11-01,2015-01-01
"472","We're stuck with the worst mayor in the United States. Too bad but New York City will survive!",2015-11-21,1794,4241,"We're stuck with the worst mayor in the United States. Too bad but New York City will survive!",0.6,"neutral",6035,2015-11-01,2015-01-01
"473","People are really liking my new book ""Crippled America."" Check it out!",2015-11-21,1159,2933,"People are really liking my new book ""Crippled America."" Check it out!",0.8,"neutral",4092,2015-11-01,2015-01-01
"474","Join us at 10pmE on @ABC2020 @ABC with @BarbaraJWalters! #MeetTheTrumps #ABC2020 https://t.co/vMeLS00GnJ",2015-11-21,1066,2894,"Join us at 10pmE on @ABC2020 @ABC with @BarbaraJWalters! #MeetTheTrumps #ABC2020 https://t.co/vMeLS00GnJ",0.25,"neutral",3960,2015-11-01,2015-01-01
"475","#ICYMI: I joined #OnTheRecord with @kimguilfoyle on @FoxNews this evening. #Trump2016 #MakeAmericaGreatAgainhttps://t.co/FlJutjpR35",2015-11-21,708,1720,"#ICYMI: I joined #OnTheRecord with @kimguilfoyle on @FoxNews this evening. #Trump2016 #MakeAmericaGreatAgainhttps://t.co/FlJutjpR35",0.5,"neutral",2428,2015-11-01,2015-01-01
"477","Tune into the legendary @BarbaraJWalters at 10pmE on@ABC2020 tonight. #MeetTheTrumps for a full hour @ABC #ABC2020! https://t.co/exF5aUhrEW",2015-11-21,1156,3412,"Tune into the legendary @BarbaraJWalters at 10pmE on@ABC2020 tonight. #MeetTheTrumps for a full hour @ABC #ABC2020! https://t.co/exF5aUhrEW",0.75,"neutral",4568,2015-11-01,2015-01-01
"480","Just got back from South Carolina. Going to Alabama tomorrow!",2015-11-20,957,3118,"Just got back from South Carolina. Going to Alabama tomorrow!",0,"neutral",4075,2015-11-01,2015-01-01
"481",".@HillaryClinton is weak on illegal immigration &amp; totally incompetent as a manager and leader - no strength or stamina to be #POTUS!",2015-11-20,2257,5094,".@HillaryClinton is weak on illegal immigration &amp; totally incompetent as a manager and leader - no strength or stamina to be #POTUS!",-0.75,"neutral",7351,2015-11-01,2015-01-01
"482","The legendary @BarbaraJWalters interviews my family and me tonight at 10:00 on @ABC2020 . Don't miss it! https://t.co/JHTF7f9aTo",2015-11-20,1458,3974,"The legendary @BarbaraJWalters interviews my family and me tonight at 10:00 on @ABC2020 . Don't miss it! https://t.co/JHTF7f9aTo",0.75,"neutral",5432,2015-11-01,2015-01-01
"483",".@BilldeBlasio should focus on running #NYC &amp; all of the problems that he has caused with his ineptitude &amp; not be so focused on me!",2015-11-20,1865,4012,".@BilldeBlasio should focus on running #NYC &amp; all of the problems that he has caused with his ineptitude &amp; not be so focused on me!",0.2,"neutral",5877,2015-11-01,2015-01-01
"485","Thank you for a great afternoon South Carolina! See you next Tuesday! #MakeAmericaGreatAgain #Trump2016 https://t.co/kWWMlmy7gQ",2015-11-20,1191,3304,"Thank you for a great afternoon South Carolina! See you next Tuesday! #MakeAmericaGreatAgain #Trump2016 https://t.co/kWWMlmy7gQ",0.9,"neutral",4495,2015-11-01,2015-01-01
"486","I didn't suggest a database-a reporter did. We must defeat Islamic terrorism &amp; have surveillance including a watch list to protect America",2015-11-20,4065,6882,"I didn't suggest a database-a reporter did. We must defeat Islamic terrorism &amp; have surveillance including a watch list to protect America",-0.6,"neutral",10947,2015-11-01,2015-01-01
"490","Going to South Carolina now great place SRO crowd. Iowa was amazing yesterday!",2015-11-20,934,2948,"Going to South Carolina now great place SRO crowd. Iowa was amazing yesterday!",1,"neutral",3882,2015-11-01,2015-01-01
"491","The media must denigrate ISIS at all levels or youth will continue to be drawn to it. These are low level degenerates NOT masterminds!",2015-11-20,3912,8375,"The media must denigrate ISIS at all levels or youth will continue to be drawn to it. These are low level degenerates NOT masterminds!",0.2,"neutral",12287,2015-11-01,2015-01-01
"496","Once John Kasich announced he was running for president and opened his mouth people realized he was a complete &amp; total dud!",2015-11-20,1492,4051,"Once John Kasich announced he was running for president and opened his mouth people realized he was a complete &amp; total dud!",-0.5,"neutral",5543,2015-11-01,2015-01-01
"498","Doesn’t help Kasich to do negative ads on me because he still has to go through everyone else  - he’s almost last.",2015-11-20,1137,3084,"Doesn’t help Kasich to do negative ads on me because he still has to go through everyone else - he’s almost last.",-0.75,"neutral",4221,2015-11-01,2015-01-01
"499","I loved beating John Kasich in the debates but it was easy—he came in dead last!",2015-11-20,1179,3232,"I loved beating John Kasich in the debates but it was easy—he came in dead last!",-0.2,"neutral",4411,2015-11-01,2015-01-01
"501","Watch Kasich squirm --- if he is not truthful in his negative ads I will sue him just for fun!",2015-11-20,1975,4401,"Watch Kasich squirm --- if he is not truthful in his negative ads I will sue him just for fun!",0.25,"neutral",6376,2015-11-01,2015-01-01
"505","Governor Kasich whose failed campaign &amp; debating skills have brought him way down in the polls is going to spend $2.5 million against me.",2015-11-20,1046,2443,"Governor Kasich whose failed campaign &amp; debating skills have brought him way down in the polls is going to spend $2.5 million against me.",-0.5,"neutral",3489,2015-11-01,2015-01-01
"507","Thank you Worcester Massachusetts!#MakeAmericaGreatAgain #Trump2016 https://t.co/D6QinyBLW6 https://t.co/sZDJr3Tkd8",2015-11-19,1144,2790,"Thank you Worcester Massachusetts!#MakeAmericaGreatAgain #Trump2016 https://t.co/D6QinyBLW6 https://t.co/sZDJr3Tkd8",0.4,"neutral",3934,2015-11-01,2015-01-01
"508","Just the beginning &amp; it is going to get worse. Rates &amp; deductibles are so high nobody is going to be able to use it. https://t.co/iwqLODke50",2015-11-19,1455,2417,"Just the beginning &amp; it is going to get worse. Rates &amp; deductibles are so high nobody is going to be able to use it. https://t.co/iwqLODke50",-0.75,"neutral",3872,2015-11-01,2015-01-01
"509","I told you! Premiums are soaring! #RepealObamacare #Trump2016 https://t.co/Ey50582uND",2015-11-19,1538,2799,"I told you! Premiums are soaring! #RepealObamacare #Trump2016 https://t.co/Ey50582uND",-0.1,"neutral",4337,2015-11-01,2015-01-01
"510","Thank you for your support! Together we can #MakeAmericaGreatAgain! #Trump2016 https://t.co/qni36GI6fV",2015-11-19,1841,4128,"Thank you for your support! Together we can #MakeAmericaGreatAgain! #Trump2016 https://t.co/qni36GI6fV",0.9,"neutral",5969,2015-11-01,2015-01-01
"512","Everyone is now saying how right I was with illegal immigration &amp; the wall. After Paris they’re all on the bandwagon.",2015-11-19,4040,9396,"Everyone is now saying how right I was with illegal immigration &amp; the wall. After Paris they’re all on the bandwagon.",-0.2,"neutral",13436,2015-11-01,2015-01-01
"513","Eight Syrians were just caught on the southern border trying to get into the U.S. ISIS maybe? I told you so. WE NEED A BIG &amp; BEAUTIFUL WALL!",2015-11-19,15693,29242,"Eight Syrians were just caught on the southern border trying to get into the U.S. ISIS maybe? I told you so. WE NEED A BIG &amp; BEAUTIFUL WALL!",1,"neutral",44935,2015-11-01,2015-01-01
"515","Very nice article from Daily Mail  https://t.co/SIxmYzPXv1",2015-11-18,1213,2927,"Very nice article from Daily Mail https://t.co/SIxmYzPXv1",0.5,"neutral",4140,2015-11-01,2015-01-01
"518","Thank you for all of your support! Let's #MakeAmericaGreatAgain! #Trump2016 https://t.co/G7o6b0cfZz",2015-11-18,5131,6622,"Thank you for all of your support! Let's #MakeAmericaGreatAgain! #Trump2016 https://t.co/G7o6b0cfZz",0.9,"neutral",11753,2015-11-01,2015-01-01
"520","I will be interviewed by  @seanhannity tonight at 10:00 on @FoxNews . Much much much to talk about!",2015-11-17,1534,3499,"I will be interviewed by @seanhannity tonight at 10:00 on @FoxNews . Much much much to talk about!",0.15,"neutral",5033,2015-11-01,2015-01-01
"523","One of the saddest things in journalism is what happened to the formerly great @AP. They have lost their way and are no longer credible.",2015-11-17,1516,3925,"One of the saddest things in journalism is what happened to the formerly great @AP. They have lost their way and are no longer credible.",-0.75,"neutral",5441,2015-11-01,2015-01-01
"524","What is our President doing? https://t.co/8p0A80kaaX",2015-11-17,2407,5060,"What is our President doing? https://t.co/8p0A80kaaX",0,"neutral",7467,2015-11-01,2015-01-01
"526","Refugees from Syria are now pouring into our great country. Who knows who they are - some could be ISIS. Is our president insane?",2015-11-17,16285,27510,"Refugees from Syria are now pouring into our great country. Who knows who they are - some could be ISIS. Is our president insane?",-0.25,"neutral",43795,2015-11-01,2015-01-01
"529","Thank you Tennessee! #Trump2016 https://t.co/RNZ3hvbVvM",2015-11-17,2766,6166,"Thank you Tennessee! #Trump2016 https://t.co/RNZ3hvbVvM",0.4,"neutral",8932,2015-11-01,2015-01-01
"531","Great poll numbers out of @UMassAmherst. Thank you! #Trump2016 #MakeAmericaGreatAgain https://t.co/ePlQRgjMYw",2015-11-17,1256,3109,"Great poll numbers out of @UMassAmherst. Thank you! #Trump2016 #MakeAmericaGreatAgain https://t.co/ePlQRgjMYw",0.9,"neutral",4365,2015-11-01,2015-01-01
"532","Just leaving Knoxville TN --- what a crowd what amazing people! #Trump2016 #MakeAmericaGreatAgain https://t.co/5qr5deOlEl",2015-11-17,2508,6611,"Just leaving Knoxville TN --- what a crowd what amazing people! #Trump2016 #MakeAmericaGreatAgain https://t.co/5qr5deOlEl",0.4,"neutral",9119,2015-11-01,2015-01-01
"533","Just landing in Knoxville Tennessee! Massive crowd expected! Will all have a great time despite serious subject matter.",2015-11-16,1509,5422,"Just landing in Knoxville Tennessee! Massive crowd expected! Will all have a great time despite serious subject matter.",0.5,"neutral",6931,2015-11-01,2015-01-01
"534","I agree! The headline says it all. #Trump2016 #MakeAmericaGreatAgainhttps://t.co/TWslpJPQG0",2015-11-16,1575,3629,"I agree! The headline says it all. #Trump2016 #MakeAmericaGreatAgainhttps://t.co/TWslpJPQG0",0.4,"neutral",5204,2015-11-01,2015-01-01
"535","Discussing #SyrianRefugees with @EricBolling on @FoxNews back on 10/3/2015. #ISIS https://t.co/rUX57o2BzM",2015-11-16,2341,4262,"Discussing #SyrianRefugees with @EricBolling on @FoxNews back on 10/3/2015. #ISIS https://t.co/rUX57o2BzM",0,"neutral",6603,2015-11-01,2015-01-01
"536","Will be landing in Knoxville Tennessee shortly - tremendous crowd expected. It's all very simple we want to #MakeAmericaGreatAgain!",2015-11-16,1966,5754,"Will be landing in Knoxville Tennessee shortly - tremendous crowd expected. It's all very simple we want to #MakeAmericaGreatAgain!",0,"neutral",7720,2015-11-01,2015-01-01
"538","Wow @Macys shares are down more than 40% this year. I never knew my ties &amp; shirts not being sold there would have such a big impact!",2015-11-16,3591,9643,"Wow @Macys shares are down more than 40% this year. I never knew my ties &amp; shirts not being sold there would have such a big impact!",0.85,"neutral",13234,2015-11-01,2015-01-01
"541","Tom Brady just did it again. He is not only a great guy he is without question the BEST quarterback!",2015-11-16,9338,14960,"Tom Brady just did it again. He is not only a great guy he is without question the BEST quarterback!",1,"neutral",24298,2015-11-01,2015-01-01
"542","President Obama just told President Putin how important the Russian air strikes against ISIS have been. I TOLD YOU SO!",2015-11-16,4858,10755,"President Obama just told President Putin how important the Russian air strikes against ISIS have been. I TOLD YOU SO!",0.75,"neutral",15613,2015-11-01,2015-01-01
"543",".@JohnLegere  @TMobile  John focus on running your company I think the service is terrible! Try hiring some good managers.",2015-11-16,1415,3349,".@JohnLegere @TMobile John focus on running your company I think the service is terrible! Try hiring some good managers.",0.6,"neutral",4764,2015-11-01,2015-01-01
"544","Glad to see that @RondaRousey lost her championship fight last night. Was soundly beaten - not a nice person!",2015-11-16,9036,13696,"Glad to see that @RondaRousey lost her championship fight last night. Was soundly beaten - not a nice person!",-0.75,"neutral",22732,2015-11-01,2015-01-01
"549",".@realDonaldTrump on ISIS&amp;OIL FIELDS! Saying it for years! @AndersonCooper you should acknowledge this! #Trump2016 https://t.co/ocoB9WlP7R",2015-11-15,1392,2958,".@realDonaldTrump on ISIS&amp;OIL FIELDS! Saying it for years! @AndersonCooper you should acknowledge this! #Trump2016 https://t.co/ocoB9WlP7R",-0.1,"neutral",4350,2015-11-01,2015-01-01
"553","Hillary and Sanders are not doing well but what is the failed former Mayor of Baltimore doing on that stage? O'Malley is a clown.",2015-11-15,3125,7551,"Hillary and Sanders are not doing well but what is the failed former Mayor of Baltimore doing on that stage? O'Malley is a clown.",0.4,"neutral",10676,2015-11-01,2015-01-01
"556","We need much tougher much smarter leadership - and we need it NOW!",2015-11-14,6234,14029,"We need much tougher much smarter leadership - and we need it NOW!",0.75,"neutral",20263,2015-11-01,2015-01-01
"560","They laughed at me when I said to bomb the ISIS controlled oil fields. Now they are not laughing and doing what I said. #Trump2016",2015-11-13,14974,26687,"They laughed at me when I said to bomb the ISIS controlled oil fields. Now they are not laughing and doing what I said. #Trump2016",0.55,"neutral",41661,2015-11-01,2015-01-01
"561","Thank you @JakeTapper for giving me credit for my vision on bombing the oil fields. Should have been done long ago. #Trump2016",2015-11-13,2105,5203,"Thank you @JakeTapper for giving me credit for my vision on bombing the oil fields. Should have been done long ago. #Trump2016",0.55,"neutral",7308,2015-11-01,2015-01-01
"564",".@CarlyFiorina had to inject herself into my factual statements concerning Ben Carson in order to breathe life into her failing campaign!",2015-11-13,1225,3265,".@CarlyFiorina had to inject herself into my factual statements concerning Ben Carson in order to breathe life into her failing campaign!",-0.75,"neutral",4490,2015-11-01,2015-01-01
"565",".@CarlyFiorina I only said I was on @60Minutes four weeks ago with Putin—never said I was in Green Room. Separate pieces—great ratings!",2015-11-13,813,2438,".@CarlyFiorina I only said I was on @60Minutes four weeks ago with Putin—never said I was in Green Room. Separate pieces—great ratings!",0.5,"neutral",3251,2015-11-01,2015-01-01
"566",".@CarlyFiorina  Ben Carson said in his own book that he has a pathological temper &amp; pathological disease. I didn’t say it he did. Apology?",2015-11-13,1364,3354,".@CarlyFiorina Ben Carson said in his own book that he has a pathological temper &amp; pathological disease. I didn’t say it he did. Apology?",-0.9,"neutral",4718,2015-11-01,2015-01-01
"568",".@CarlyFiorina Carly not just you I also told Gov. Kasich to “let Jeb talk give him a chance” because Kasich was constantly cutting in.",2015-11-13,944,2589,".@CarlyFiorina Carly not just you I also told Gov. Kasich to “let Jeb talk give him a chance” because Kasich was constantly cutting in.",0.65,"neutral",3533,2015-11-01,2015-01-01
"569","Happy Friday the 13th https://t.co/Br6AUzgGoi",2015-11-13,1717,3424,"Happy Friday the 13th https://t.co/Br6AUzgGoi",0.75,"neutral",5141,2015-11-01,2015-01-01
"572","I will be on @OutFrontCNN with @ErinBurnett at 7PM. Tune in!#Trump2016",2015-11-12,817,1989,"I will be on @OutFrontCNN with @ErinBurnett at 7PM. Tune in!#Trump2016",-0.1,"neutral",2806,2015-11-01,2015-01-01
"573","I will be on with @BretBaier tonight at 6PM. #Trump2016",2015-11-12,702,1890,"I will be on with @BretBaier tonight at 6PM. #Trump2016",-0.1,"neutral",2592,2015-11-01,2015-01-01
"576","From 2% to 27% in Texas - quite a jump into first place!",2015-11-12,1686,4730,"From 2% to 27% in Texas - quite a jump into first place!",0,"neutral",6416,2015-11-01,2015-01-01
"577","Wow pres. candidate Ben Carson who is very weak on illegal Immigration just said  he likes amnesty and a pathway to citizenship.",2015-11-12,2005,3510,"Wow pres. candidate Ben Carson who is very weak on illegal Immigration just said he likes amnesty and a pathway to citizenship.",0.75,"neutral",5515,2015-11-01,2015-01-01
"582","We as a country either have borders or we don't. IF WE DON'T HAVE BORDERS WE DON'T HAVE A COUNTRY!",2015-11-12,6099,11955,"We as a country either have borders or we don't. IF WE DON'T HAVE BORDERS WE DON'T HAVE A COUNTRY!",0,"neutral",18054,2015-11-01,2015-01-01
"584","When and how are the dummies at the @WSJ going to apologize to me for their totally incorrect Editorial on me. I want ""smart"" trade deals.",2015-11-12,1129,2679,"When and how are the dummies at the @WSJ going to apologize to me for their totally incorrect Editorial on me. I want ""smart"" trade deals.",0.55,"neutral",3808,2015-11-01,2015-01-01
"586",".@WSJ Editorial Board should review my debate statement re China and T.P.P. and apologize. China not part but will get their way in later.",2015-11-12,1057,2274,".@WSJ Editorial Board should review my debate statement re China and T.P.P. and apologize. China not part but will get their way in later.",0.8,"neutral",3331,2015-11-01,2015-01-01
"587","Today's @WSJ Editorial is WRONG again. I know that China is not in the new T.P.P. trade deal but would come in latter through a back door.",2015-11-12,1146,2315,"Today's @WSJ Editorial is WRONG again. I know that China is not in the new T.P.P. trade deal but would come in latter through a back door.",0.3,"neutral",3461,2015-11-01,2015-01-01
"588","I will be interviewed on @MariaBartiromo @FoxBusiness at 7:30",2015-11-12,581,1435,"I will be interviewed on @MariaBartiromo @FoxBusiness at 7:30",-0.25,"neutral",2016,2015-11-01,2015-01-01
"590","Will be interviewed by @oreillyfactor tonight at 8 PM.",2015-11-11,801,2146,"Will be interviewed by @oreillyfactor tonight at 8 PM.",-0.25,"neutral",2947,2015-11-01,2015-01-01
"591","I will be on @marklevinshow at 8PM tonight. Tune in!",2015-11-11,741,1849,"I will be on @marklevinshow at 8PM tonight. Tune in!",0,"neutral",2590,2015-11-01,2015-01-01
"593","I never said that China was in the bad TPP trade deal but that China would come in the back door at a later date. @CNN @FoxBusiness",2015-11-11,1468,3241,"I never said that China was in the bad TPP trade deal but that China would come in the back door at a later date. @CNN @FoxBusiness",-0.5,"neutral",4709,2015-11-01,2015-01-01
"596","Thank you @Morning_Joe &amp; @morningmika -- a great show! #Trump2016 #MakeAmericaGreatAgain https://t.co/teauhiQd3i",2015-11-11,1022,2739,"Thank you @Morning_Joe &amp; @morningmika -- a great show! #Trump2016 #MakeAmericaGreatAgain https://t.co/teauhiQd3i",0.9,"neutral",3761,2015-11-01,2015-01-01
"598","Will be on @Morning_Joe live from New Hampshire - 7:00 A.M. Talking about the debate and more!",2015-11-11,603,2003,"Will be on @Morning_Joe live from New Hampshire - 7:00 A.M. Talking about the debate and more!",0.8,"neutral",2606,2015-11-01,2015-01-01
"599","I will be on @Morning_Joe live from New Hampshire tomorrow at 7am. #Trump2016 #MakeAmericaGreatAgain",2015-11-11,786,2063,"I will be on @Morning_Joe live from New Hampshire tomorrow at 7am. #Trump2016 #MakeAmericaGreatAgain",0.7,"neutral",2849,2015-11-01,2015-01-01
"601","Thank you South Carolina! #Trump2016 https://t.co/DDK89IcmxX",2015-11-10,1370,2938,"Thank you South Carolina! #Trump2016 https://t.co/DDK89IcmxX",0.4,"neutral",4308,2015-11-01,2015-01-01
